DB,UT,DI,PMID,TI,SO,JI,PY,DT,LA,TC,AU,AF,C1,RP,CR,DE,ID,AB,VL,IS,BP,EP,SR
PUBMED,,,42221614,The Epi training kit pilot: an inclusive Spanish-language e-learning approach to epidemiology and data science in Latin America and the Caribbean.,Front Public Health,,2026,Journal Article,eng,0,Gómez-Bermeo L;Velasco-España JM;Buitrago-López A;Gómez-Millán G;Cucunubá ZM,,,,,,,,14,,1745984,,"L Gómez-Bermeo, 2026, Front Public Health"
PUBMED,,,42122050,Integrative Multidimensional Machine Learning Models for Stroke Prognosis: Age-Stratified and History Engineered Perspectives.,Diagnostics (Basel),,2026,Journal Article,eng,0,Lee G;Kwon S;Shin SH;Kim C;Yu JY,,,,,,,,16,9,,,"G Lee, 2026, Diagnostics (Basel)"
PUBMED,,,42057274,A Generalized Outlier Method with an Automated Test Protocol Applied to Proficiency Testing Schemes: Utilizing Monte Carlo Simulation for Generating Critical Values for the Extended Grubbs Statistic.,J AOAC Int,,2026,Journal Article,eng,0,Nilsson T;Langer Sigaard S,,,,,,,,,,,,"T Nilsson, 2026, J AOAC Int"
PUBMED,,,42038418,"Sparse regression, classification, and microbial network estimation in QIIME 2 with q2-classo and q2-gglasso.",ArXiv,,2026,Journal Article,eng,0,Vlasovets O;Schaipp F;Simpson L;Bolyen E;Caporaso JG;Müller CL,,,,,,,,,,,,"O Vlasovets, 2026, ArXiv"
PUBMED,,,41944570,Score Matching for Differential Abundance Testing of Compositional High-Throughput Sequencing Data.,Stat Med,,2026,Journal Article,eng,0,Ostner J;Li H;Müller CL,,,,,,,,45,8-9,e70534,,"J Ostner, 2026, Stat Med"
PUBMED,,,41883750,Generative AI for climate governance and acceptability-constrained policy design.,NPJ Clim Action,,2026,Journal Article,eng,0,Manivannan A;Spaiser V;Cann TJB;Evans J;Everall JP;Falkenberg M;Garcia D;Guo W;Herzog R;Otto IM;Oswald Y;Pagan N;Pellert M;Pilgrim C;Rodriguez-Pardo C;Sen I;Vezhnevets AS,,,,,,,,5,1,37,,"A Manivannan, 2026, NPJ Clim Action"
PUBMED,,,41880979,Evaluating quality of care and patient safety with ICD-11: Opportunities for the French National Health Data System (SNDS).,J Epidemiol Popul Health,,2026,Journal Article,eng,0,Boussat B;Boyer L;Quantin C;Southern DA;Ghali WA;Guéant S;Danjou F;Mokaddem Y;Mercier G;Duclos A;“REDSIAM Quality Group”,,,,,,,,74,2,203372,,"B Boussat, 2026, J Epidemiol Popul Health"
PUBMED,,,41790126,Stability trends of near- and equiatomic (n ⋍ m) Co(n)Mo(m) and Mo(n)Co(m) (n + m = 2-15) subnanoalloys from DFT and K-means clustering.,Phys Chem Chem Phys,,2026,Journal Article,eng,0,de Araújo OGS;Alves AS;Dos Santos Costa M;Andriani KF,,,,,,,,28,12,7494-7503,,"OGS de Araújo, 2026, Phys Chem Chem Phys"
PUBMED,,,41760682,FAIR m-BIDS: Advancing brain data utilization through multimodal and FAIR principles.,Sci Data,,2026,Journal Article,eng,0,Mirhosseini SM;Naseri H;Siahlou B;Panahi Arasi M;Monazami Eslami S;Safaei AA,,,,,,,,13,1,,,"SM Mirhosseini, 2026, Sci Data"
PUBMED,,,41758512,"Clinical Pharmacists, Medications, and Contingency Management for Targeting Smoking in HIV Clinics: A Randomized Clinical Trial.",JAMA Netw Open,,2026,Journal Article,eng,0,Edelman EJ;Deng Y;Dziura J;Nahum-Shani I;Weiss JM;Aoun-Barakat L;Bold KW;Harsono D;Mistler C;Payne E;Aiudi S;Sigel KM;Yager JE;Ledgerwood DM;Bernstein SL,,,,,,,,9,2,e2560593,,"EJ Edelman, 2026, JAMA Netw Open"
PUBMED,,,41700319,Accelerating Catalyst Materials Discovery With Large Artificial Intelligence Models.,Angew Chem Int Ed Engl,,2026,Journal Article,eng,0,Zhang D;Chen Y;Liu C;Liu Y;Xin H;Peng J;Ou P;Li H,,,,,,,,65,16,e26150,,"D Zhang, 2026, Angew Chem Int Ed Engl"
PUBMED,,,41659587,Epithelial Reprogramming and Transition during Pulmonary Bioengineering.,bioRxiv,,2026,Journal Article,eng,0,Mizoguchi S;Lee V;Kim H;Edelstein SE;Wang N;Gracia MT;Danelski C;Haynes C;Rivero R;Stitelman D;Obata T;Greaney AM;Tsuchiya T;Kyriakides TR;Kaminski N;Raredon MSB,,,,,,,,,,,,"S Mizoguchi, 2026, bioRxiv"
PUBMED,,,41572614,Extension of Bootstrap MARS With Group LASSO for Heterogeneous Treatment Effect Estimation.,Stat Med,,2026,Journal Article,eng,0,He G;Wan K;Shimokawa T;Maruo K,,,,,,,,45,1-2,e70370,,"G He, 2026, Stat Med"
PUBMED,,,41526603,Enhancing healthcare workers' safety and well-being through a comprehensive qualitative analysis across hospital settings.,Sci Rep,,2026,Journal Article,eng,0,Foglia E;Ferrario L;Garagiola E,,,,,,,,16,1,5084,,"E Foglia, 2026, Sci Rep"
